Strategy,Popsize,Mutation,Nit,X0,X1,Estimated
best1bin,19,0.8,108,0.0,0.0,19#0.8
best1bin,19,0.7,95,0.0,0.0,19#0.7
best1bin,19,0.6,76,0.0,0.0,19#0.6
best1bin,19,0.5,62,0.0,0.0,19#0.5
best1bin,19,0.4,49,0.0,0.0,19#0.4
best1bin,19,0.3,37,0.0,0.0,19#0.3
best1bin,19,0.2,28,0.0,0.0,19#0.2
best1bin,19,0.1,22,-0.0,0.0,19#0.1
best1bin,19,0.0,4,-0.0,-0.0,19#0.0
best1bin,20,1.0,154,0.0,0.0,20#1.0
best1bin,20,0.9,127,0.0,0.0,20#0.9
best1bin,20,0.8,115,0.0,0.0,20#0.8
best1bin,20,0.7,99,0.0,0.0,20#0.7
best1bin,20,0.6,72,0.0,0.0,20#0.6
best1bin,20,0.5,63,0.0,0.0,20#0.5
best1bin,20,0.4,48,0.0,0.0,20#0.4
best1bin,20,0.3,38,0.0,0.0,20#0.3
best1bin,20,0.2,29,-0.0,-0.0,20#0.2
best1bin,20,0.1,23,0.0,0.0,20#0.1
best1bin,20,0.0,3,0.0,-0.0,20#0.0
best1exp,10,1.0,118,0.0,-0.0,10#1.0
best1exp,10,0.9,132,0.0,0.0,10#0.9
best1exp,10,0.8,107,0.0,0.0,10#0.8
best1exp,10,0.7,91,0.0,0.0,10#0.7
best1exp,10,0.6,76,0.0,0.0,10#0.6
best1exp,10,0.5,63,0.0,0.0,10#0.5
best1exp,10,0.4,48,0.0,0.0,10#0.4
best1exp,10,0.3,42,0.0,0.0,10#0.3
best1exp,10,0.2,31,0.0,0.0,10#0.2
best1exp,10,0.1,22,-0.0,0.0,10#0.1
best1exp,10,0.0,4,-0.0,-0.0,10#0.0
best1exp,11,1.0,63,-0.0,-0.0,11#1.0
best1exp,11,0.9,143,0.0,0.0,11#0.9
best1exp,11,0.8,100,0.0,0.0,11#0.8
best1exp,11,0.7,89,0.0,0.0,11#0.7
best1exp,11,0.6,82,0.0,0.0,11#0.6
best1exp,11,0.5,60,0.0,0.0,11#0.5
best1exp,11,0.4,47,0.0,0.0,11#0.4
best1exp,11,0.3,38,0.0,0.0,11#0.3
